agency,name,committee_url
Department of Health and Human Services,Mine Safety and  Health Research Advisory Committee,https://www.cdc.gov/maso/facm/facmmshrac.html
Department of Health and Human Services,Medicare Evidence Development Coverage Advisory Committee,https://www.cms.gov/Regulations-and-Guidance/Guidance/FACA/MEDCAC.html
Department of Health and Human Services,Medicare Advisory Panel on Clinical Diagnostic Laboratory Tests,https://www.cms.gov/Regulations-and-Guidance/Guidance/FACA/AdvisoryPanelonClinicalDiagnosticLaboratoryTests.html
Department of Health and Human Services,Medical Imaging Drugs Advisory Committee,http://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/MedicalImagingDrugsAdvisoryCommittee/default.htm
Department of Health and Human Services,Interdisciplinary Molecular Sciences and Training Integrated Review Group,http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/IMSTIRG/Pages/default.aspx
Department of Health and Human Services,Interdepartmental Serious Mental Illness Coordinating Committee,https://www.samhsa.gov/about-us/advisory-councils/smi-committee
Department of Health and Human Services,Medical Devices Advisory Committee,https://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/MedicalDevices/default.htm
Department of Health and Human Services,Interagency Committee on Smoking and Health,https://www.cdc.gov/tobacco/about/icsh/index.htm
Department of Health and Human Services,Infectious Diseases and Microbiology Integrated Review Group,http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/IDMIRG/Pages/default.aspx
Department of Health and Human Services,Interagency Breast Cancer  and Environmental Research Coordinating Committee,http://www.niehs.nih.gov/about/boards/ibcercc/index.cfm
Department of Health and Human Services,Interagency Autism Coordinating Committee,http://iacc.hhs.gov/
Department of Health and Human Services,Interagency Pain Research Coordinating Committee,https://iprcc.nih.gov/Meetings-Events/IPRCC-Meetings
Department of Health and Human Services,"Integrative, Functional and Cognitive Neuroscience Integrated Review Group",http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/IFCNIRG/Pages/default.aspx
Department of Health and Human Services,Immunology Integrated Review Group,http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/IMMIRG/Pages/default.aspx
Department of Health and Human Services,Health Information Technology Advisory Committee,https://www.healthit.gov/hitac/committees/health-information-technology-advisory-committee-hitac
Department of Health and Human Services,Gastrointestinal Drugs Advisory Committee,http://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/GastrointestinalDrugsAdvisoryCommittee/default.htm
Department of Health and Human Services,Healthcare Delivery and Methodologies Integrated Review Group,http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/HDMIRG/Pages/default.aspx
Department of Health and Human Services,Healthcare Infection Control Practices Advisory Committee,http://www.cdc.gov/hicpac
Department of Health and Human Services,Frederick National Laboratory Advisory Committee to the National Cancer Institute,http://deainfo.nci.nih.gov/advisory/fac/fac.htm
Department of Health and Human Services,"Genes, Genomes, and Genetics  Integrated Review Group",http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/GGGIRG/Pages/default.aspx
Department of Health and Human Services,Fogarty International Center Advisory Board,http://www.fic.nih.gov/About/Advisory/Pages/default.aspx
Department of Health and Human Services,"Endocrinology, Metabolism, Nutrition and Reproductive Sciences Integrated Review Group",http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/EMNRIRG/Pages/default.aspx
Department of Health and Human Services,Endocrinologic and Metabolic Drugs Advisory Committee,http://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/EndocrinologicandMetabolicDrugsAdvisoryCommittee/default.htm
Department of Health and Human Services,Emerging Technologies and Training Neurosciences Integrated Review Group,http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/ETTNIRG/Pages/default.aspx
Department of Health and Human Services,Drug Safety and Risk Management Advisory Committee,http://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/DrugSafetyandRiskManagementAdvisoryCommittee/default.htm
Department of Health and Human Services,Division of Intramural Research Board of Scientific Counselors National Institute of Allergy and Infectious Diseases,https://www.niaid.nih.gov/about/scientific-counselors
Department of Health and Human Services,"Disease, Disability, and Injury Prevention and Control Special Emphasis Panel",http://www.cdc.gov/maso/FACM/facmSEP.html
Department of Health and Human Services,"Digestive, Kidney and Urological Systems Integrated Review Group",http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/DKUSIRG/Pages/default.aspx
Department of Health and Human Services,Device Good Manufacturing Practice Advisory Committee,https://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/MedicalDevices/DeviceGoodManufacturingPracticeAdvisoryCommittee/default.htm
Department of Health and Human Services,Cures Acceleration Network Review Board,http://www.ncats.nih.gov/advisory/canboard
Department of Health and Human Services,Council of Councils,http://dpcpsi.nih.gov/council/
Department of Health and Human Services,Communication Disorders Review Committee,https://www.nidcd.nih.gov/about/communication-disorders-review-committee
Department of Health and Human Services,Community Living Assistance Services and Supports CLASS Independence Advisory Council,http://aoa.gov/AoARoot/CLASS/Independence_Advisory/index.aspx
Department of Health and Human Services,Council on Graduate Medical Education,https://www.hrsa.gov/advisory-committees/graduate-medical-edu/index.html
Department of Health and Human Services,Dermatologic and Ophthalmic Drugs Advisory Committee,http://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/DermatologicandOphthalmicDrugsAdvisoryCommittee/default.htm
Department of Health and Human Services,Clinical Laboratory Improvement Advisory Committee,https://wwwn.cdc.gov/cliac/
Department of Health and Human Services,Center for Substance Abuse Treatment National Advisory Council,http://www.samhsa.gov/about-us/advisory-councils/csat-national-advisory-council
Department of Health and Human Services,Center for Substance Abuse Prevention National Advisory Council,http://www.samhsa.gov/about-us/advisory-councils/csap-national-advisory-council
Department of Health and Human Services,Center for Substance Abuse Prevention Drug Testing Advisory Board,http://www.samhsa.gov/about-us/advisory-councils/drug-testing-advisory-board-dtab
Department of Health and Human Services,Center for Scientific Review Special Emphasis Panel,http://public.csr.nih.gov/StudySections/SpecialEmphasis/Pages/default.aspx
Department of Health and Human Services,Center for Scientific Review Advisory Council,https://public.csr.nih.gov/AboutCSR/Organization/CSRAdvisoryCouncil
Department of Health and Human Services,Center for Mental Health Services National Advisory Council,http://www.samhsa.gov/about-us/advisory-councils/cmhs-national-advisory-council
Department of Health and Human Services,Cellular Tissue and Gene Therapies Advisory Committee,http://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/BloodVaccinesandOtherBiologics/CellularTissueandGeneTherapiesAdvisoryCommittee/default.htm
Department of Health and Human Services,Cell Biology Integrated Review Group,http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/CBIRG/Pages/default.aspx
Department of Health and Human Services,Cardiovascular and Respiratory Sciences Integrated Review Group,http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/CVRSIRG/Pages/default.aspx
Department of Health and Human Services,"CDC/HRSA Advisory Committee on HIV, Viral Hepatitis, and STD Prevention and Treatment",http://www.cdc.gov/maso/facm/facmchachspt.html
Department of Health and Human Services,Cardiovascular and Renal Drugs Advisory Committee,http://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/CardiovascularandRenalDrugsAdvisoryCommittee/default.htm
Department of Health and Human Services,Breast and Cervical Cancer Early Detection and Control Advisory Committee,https://www.cdc.gov/maso/facm/facmbccedcac.html
Department of Health and Human Services,Brain Disorders and Clinical Neuroscience Integrated Review Group,http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/BDCNIRG/Pages/default.aspx
Department of Health and Human Services,"Bone, Reproductive and Urologic Drugs Advisory Committee",http://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/ReproductiveHealthDrugsAdvisoryCommittee/default.htm
Department of Health and Human Services,"Board of Scientific Counselors, Office of Public Health Preparedness and Response",https://www.cdc.gov/phpr/bsc/index.htm
Department of Health and Human Services,"Board of Scientific Counselors, National Institute on Deafness and Other Communication Disorders",https://www.nidcd.nih.gov/about/board-scientific-counselors
Department of Health and Human Services,"Board of Scientific Counselors, National Institute on Alcohol Abuse and Alcoholism",https://www.niaaa.nih.gov/research/niaaa-intramural-program/niaaa-laboratories/office-scientific-director
Department of Health and Human Services,"Board of Scientific Counselors, National Institute of Neurological Disorders and Stroke",https://www.ninds.nih.gov/About-NINDS/Who-We-Are/Board-Scientific-Counselors
Department of Health and Human Services,"Board of Scientific Counselors, National Institute of Mental Health",http://www.nimh.nih.gov/labs-at-nimh/scientific-director/office-of-scientific-director/board-of-scientific-counselors.shtml
Department of Health and Human Services,"Board of Scientific Counselors, National Institute of Environmental Health Sciences",http://www.niehs.nih.gov/about/boards/bsc/index.cfm
Department of Health and Human Services,"Board of Scientific Counselors, National Institute of Dental and Craniofacial Research",http://www.nidcr.nih.gov/AboutUs/Councils/BSC/
Department of Health and Human Services,"Board of Scientific Counselors, National Institute of Diabetes and Digestive and Kidney Diseases",http://www.niddk.nih.gov/about-niddk/advisory-coordinating-committees/board-scientific-counselors/Pages/default.aspx
Department of Health and Human Services,"Board of Scientific Counselors, National Institute for Occupational Safety and Health",http://www.cdc.gov/niosh/bsc
Department of Health and Human Services,"Board of Scientific Counselors, National Center for Environmental Health/Agency for Toxic Substances and Disease Registry",http://www.atsdr.cdc.gov/science/meetings_and_agendas.html
Department of Health and Human Services,"Board of Scientific Counselors, National Center for Injury Prevention and Control",https://www.cdc.gov/injury/bsc/meetings.html
Department of Health and Human Services,Board of Scientific Counselors Office of Infectious Diseases,http://www.cdc.gov/oid/BSC.html
Department of Health and Human Services,Board of Scientific Counselors of the NIH Clinical Center,http://clinicalcenter.nih.gov/bsc/
Department of Health and Human Services,Board of Scientific Counselors National Human Genome Research Institute,http://www.genome.gov/10000911
Department of Health and Human Services,"Board of Scientific Counselors for Clinical Sciences and Epidemiology, National Cancer Institute",http://deainfo.nci.nih.gov/advisory/bsc/cse/cse.htm
Department of Health and Human Services,"Board of Scientific Counselors for Basic Sciences, National Cancer Institute",http://deainfo.nci.nih.gov/advisory/bsc/bs/bs.htm
Department of Health and Human Services,Board of Scientific Counselors National Center for Health Statistics,http://www.cdc.gov/nchs/about/bsc.htm
Department of Health and Human Services,Board of Scientific Counselors Eunice Kennedy Shriver National Institute of Child Health and Human Development,https://www.nichd.nih.gov/about/advisory/bsc
Department of Health and Human Services,Biology of Development and Aging Integrated Review Group,http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/BDAIRG/Pages/default.aspx
Department of Health and Human Services,Biological Chemistry and Macromolecular Biophysics Integrated Review Group,http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/BCMBIRG/Pages/default.aspx
Department of Health and Human Services,Board of Regents of the National Library of Medicine,http://www.nlm.nih.gov/od/bor/bor.html
Department of Health and Human Services,Bioengineering Sciences & Technologies Integrated Review Group,http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/BSTIRG/Pages/default.aspx
Department of Health and Human Services,Biobehavioral and Behavioral Processes Integrated Review Group,http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/BBBPIRG/Pages/default.aspx
Department of Health and Human Services,Blood Products Advisory Committee,http://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/BloodVaccinesandOtherBiologics/BloodProductsAdvisoryCommittee/default.htm
Department of Health and Human Services,Arthritis Advisory Committee,http://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/ArthritisAdvisoryCommittee/default.htm
Department of Health and Human Services,Anesthetic and Analgesic Drug Products Advisory Committee,http://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/AnestheticAndAnalgesicDrugProductsAdvisoryCommittee/default.htm
Department of Health and Human Services,Antimicrobial Drugs Advisory Committee,http://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/Anti-InfectiveDrugsAdvisoryCommittee/default.htm
Department of Health and Human Services,Allergenic Products Advisory Committee,http://www.fda.gov/AdvisoryCommittees/CommitteesMeetingMaterials/BloodVaccinesandOtherBiologics/AllergenicProductsAdvisoryCommittee/default.htm
Department of Health and Human Services,AIDS and Related Research Integrated Review Group,http://public.csr.nih.gov/StudySections/IntegratedReviewGroups/AARRIRG/Pages/default.aspx
Department of Health and Human Services,"AIDS Research Advisory Committee, NIAID",https://www.niaid.nih.gov/about/committees-aids-research
Department of Health and Human Services,"Advisory Committee to the Director, National Institutes of Health",http://acd.od.nih.gov/
Department of Health and Human Services,"Advisory Committee to the Director, Centers for Disease Control and Prevention",https://www.cdc.gov/maso/facm/facmacdcdc_minutes.html
Department of Health and Human Services,"Advisory Council on Alzheimer's Research, Care, and Services",https://aspe.hhs.gov/advisory-council-alzheimers-research-care-and-services-meetings
Department of Health and Human Services,Advisory Panel on Hospital Outpatient Payment,https://www.cms.gov/Regulations-and-Guidance/Guidance/FACA/AdvisoryPanelonAmbulatoryPaymentClassificationGroups.html
Department of Health and Human Services,Advisory Council on Blood Stem Cell Transplantation,https://bloodcell.transplant.hrsa.gov/about/advisory_council/index.html
Department of Health and Human Services,Advisory Council for the Elimination of Tuberculosis,https://www.cdc.gov/maso/facm/facmacet.html
Department of Health and Human Services,Advisory Panel on Outreach and Education,http://www.cms.gov/Regulations-and-Guidance/Guidance/FACA/APOE.html
Department of Health and Human Services,Advisory Committee on Training in Primary Care Medicine and Dentistry,https://www.hrsa.gov/advisory-committees/primarycare-dentist/index.html
Department of Health and Human Services,"Advisory Committee on the Maternal, Infant and Early Childhood Home Visiting Program Evaluation",http://www.acf.hhs.gov/programs/opre/research/project/advisory-committee-on-the-maternal-infant-and-early-childhood-home
Department of Health and Human Services,Advisory Committee on Research on Women's Health,https://orwh.od.nih.gov/advisory-committees/acrwh
Department of Health and Human Services,Advisory Committee on Organ Transplantation,https://www.organdonor.gov/about-dot/acot.html#meetings
Department of Health and Human Services,"Advisory Committee on Interdisciplinary, Community-Based Linkages",http://www.hrsa.gov/advisorycommittees/bhpradvisory/acicbl/index.html
Department of Health and Human Services,"Advisory Committee to the Deputy Director for Intramural Research, National Institutes of Health",https://oir.nih.gov/sourcebook/committees-advisory-ddir/advisory-committee-ddir
Department of Health and Human Services,Advisory Committee on Minority Health,http://www.minorityhealth.hhs.gov/omh/browse.aspx?lvl=2&lvlid=3
Department of Health and Human Services,Advisory Committee on Infant Mortality,https://www.hrsa.gov/advisory-committees/Infant-Mortality/index.html
Department of Health and Human Services,Advisory Committee on Immunization Practices,http://www.cdc.gov/vaccines/acip/index.html
Department of Health and Human Services,Advisory Committee on Heritable Disorders in Newborns and Children,https://www.hrsa.gov/advisory-committees/heritable-disorders/index.html
Department of Health and Human Services,Advisory Committee for Women's Services,https://www.samhsa.gov/about-us/advisory-councils/advisory-committee-women%E2%80%99s-services-acws
Department of Health and Human Services,Advisory Commission on Childhood Vaccines,https://www.hrsa.gov/advisory-committees/vaccines/index.html
Department of Health and Human Services,Advisory Board on Radiation and Worker Health,http://www.cdc.gov/niosh/ocas/ocasadv.html
Department of Health and Human Services,Advisory Committee on Breast Cancer in Young Women,http://www.cdc.gov/cancer/breast/what_cdc_is_doing/young_women.htm
Department of Health and Human Services,Advisory Committee on Blood and Tissue Safety and Availability,https://www.hhs.gov/ohaidp/initiatives/blood-tissue-safety/advisory-committee/index.html
Department of Energy,Nuclear Energy Advisory Committee,https://www.energy.gov/ne/services/nuclear-energy-advisory-committee
Department of Energy,National Petroleum Council,http://www.npc.org
Department of Energy,Secretary of Energy Advisory Board,http://www.energy.gov/secretary-energy-advisory-board
Department of Energy,State Energy Advisory Board,http://www.energy.gov/eere/steab/state-energy-advisory-board
Department of Energy,President's Council of Advisors on Science and Technology,https://www.nitrd.gov/pcast/index.aspx
Department of Energy,National Coal Council,http://www.nationalcoalcouncil.org/
Department of Energy,Methane Hydrate Advisory Committee,http://energy.gov/fe/services/advisory-committees/methane-hydrate-advisory-committee
Department of Energy,Environmental Management Advisory Board,http://energy.gov/em/services/communication-engagement/environmental-management-advisory-board-emab
Department of Energy,High Energy Physics Advisory Panel,http://science.energy.gov/hep/hepap/
Department of Energy,Fusion Energy Sciences Advisory Committee,http://science.energy.gov/fes/fesac/
Department of Energy,Hydrogen and Fuel Cell Technical Advisory Committee,http://www.hydrogen.energy.gov/advisory_htac.html
Department of Energy,Environmental Management Site-Specific Advisory Board,http://energy.gov/em/services/communication-engagement/em-site-specific-advisory-board-em-ssab
Department of Energy,DOE/NSF Nuclear Science Advisory Committee,http://science.energy.gov/np/nsac/
Department of Energy,Electricity Advisory Committee,http://energy.gov/oe/electricity-advisory-committee-eac
Department of Energy,Biomass Research and Development Technical Advisory Committee,http://biomassboard.gov/committee/committee.html
Department of Energy,Biological and Environmental Research Advisory Committee,http://science.energy.gov/ber/berac/
Department of Energy,Basic Energy Sciences Advisory Committee,http://science.energy.gov/bes/
Department of Energy,Appliance Standards and Rulemaking Federal Advisory Committee,https://www.energy.gov/eere/buildings/appliance-standards-and-rulemaking-federal-advisory-committee
Department of Energy,Advanced Scientific Computing Advisory Committee,http://science.energy.gov/ascr/ascac/
Department of Education,President’s Board of Advisors on Historically Black Colleges and Universities,http://www.ed.gov
Department of Education,Safe and Drug-Free Schools and Communities Advisory Committee,http://www.ed.gov
Department of Education,President's Advisory Commission on Educational Excellence for Hispanics,https://www.ed.gov
Department of Education,President's Advisory Commission on Educational Excellence for African Americans,https://www.ed.gov
Department of Education,President's Advisory Commission on Asian Americans and Pacific Islanders,https://www.ed.gov
Department of Education,National Board of the Fund for the Improvement of Postsecondary Education,http://www.ed.gov/about/bdscomm/list/index.html
Department of Education,National Board for Education Sciences,http://ies.ed.gov/director/board/index.asp
Department of Education,National Advisory Council on Indian Education,http://www2.ed.gov/about/bdscomm/list/com.html
Department of Education,Historically Black Colleges and Universities Capital Financing Advisory Board,http://www.ed.gov/about/bdscomm/list/hbcu-finance.html
Department of Education,National Advisory Committee on Institutional Quality and Integrity,https://sites.ed.gov/naciqi/
Department of Commerce,Visiting Committee on Advanced Technology,http://www.nist.gov/director/vcat/index.cfm
Department of Commerce,United States Integrated Ocean Observing System Advisory Committee,https://ioos.noaa.gov/community/u-s-ioos-advisory-committee/
Department of Commerce,United States Investment Advisory Council,http://trade.gov/iac/
Department of Commerce,United States Travel and Tourism Advisory Board,http://www.trade.gov/ttab/
Department of Commerce,United States Advanced Manufacturing Council,http://trade.gov/manufacturingcouncil
Department of Commerce,Sensors and Instrumentation Technical Advisory Committee,http://tac.bis.doc.gov/
Department of Commerce,Renewable Energy and Energy Efficiency Advisory Committee,http://2016.export.gov/reee/eg_main_023040.asp
Department of Commerce,Technology Innovation Program Advisory Board,http://www.nist.gov/tip
Department of Commerce,Transportation and Related Equipment Technical Advisory Committee,http://tac.bis.doc.gov/
Department of Commerce,President's Export Council Subcommittee on Export Administration,http://tac.bis.doc.gov
Department of Commerce,Regulations and Procedures Technical Advisory Committee,http://tac.bis.doc.gov/
Department of Commerce,President's Export Council,http://trade.gov/pec/
Department of Commerce,President's Advisory Council on Doing Business in Africa,http://trade.gov/pac-dbia/
Department of Commerce,Ocean Exploration Advisory Board,http://oeab.noaa.gov/
Department of Commerce,NOAA Science Advisory Board,http://www.sab.noaa.gov
Department of Commerce,NIST Smart Grid Advisory Committee,https://www.nist.gov/engineering-laboratory/smart-grid/smart-grid-federal-advisory-committee
Department of Commerce,National Technical Information Service Advisory Board,http://www.ntis.gov/about/advisory-board/
Department of Commerce,National Sea Grant Advisory Board,https://seagrant.noaa.gov/About/Advisory-Board
Department of Commerce,National Medal of Technology and Innovation Nomination Evaluation Committee,http://www.uspto.gov/nmti/committee.html
Department of Commerce,National Construction Safety Team Advisory Committee,https://www.nist.gov/el/disaster-resilience/disaster-and-failure-studies/national-construction-safety-team-ncst
Department of Commerce,National Advisory Council on Innovation and Entrepreneurship,http://www.eda.gov/oie/nacie/
Department of Commerce,Materials Technical Advisory Committee,http://tac.bis.doc.gov/
Department of Commerce,Materials Processing Equipment Technical Advisory Committee,http://tac.bis.doc.gov/
Department of Commerce,Marine Protected Areas Federal Advisory Committee,http://marineprotectedareas.noaa.gov/fac/
Department of Commerce,Manufacturing Extension Partnership Advisory Board,http://www.nist.gov/mep/about/advisory-board-members.cfm
Department of Commerce,Judges Panel of the Malcolm Baldrige National Quality Award,http://patapsco.nist.gov/BoardofExam/Examiners_Judge2.cfm
Department of Commerce,Information Systems Technical Advisory Committee,http://tac.bis.doc.gov
Department of Commerce,Information Security and Privacy Advisory Board,http://csrc.nist.gov/groups/SMA/ispab/index.html
Department of Commerce,Industry Trade Advisory Committee on Textiles and Clothing,http://www.trade.gov/itac
Department of Commerce,Industry Trade Advisory Committee on Steel,http://www.trade.gov/itac
Department of Commerce,Industry Trade Advisory Committee on Standards and Technical Trade Barriers,http://www.trade.gov/itac
Department of Commerce,Industry Trade Advisory Committee on Small and Minority Business,http://www.ita.doc.gov/itac
Department of Commerce,Industry Trade Advisory Committee on Services and Finance,http://www.trade.gov/itac
Department of Commerce,"Industry Trade Advisory Committee on Forest Products, Building Materials, Construction, and Nonferrous Metals",http://www.trade.gov/itac
Department of Commerce,Industry Trade Advisory Committee on Forest Products,http://www.trade.gov/itac
Department of Commerce,Industry Trade Advisory Committee on Digital Economy,http://www.trade.gov/itac
Department of Commerce,Industry Trade Advisory Committee on Customs Matters and Trade Facilitation,http://www.trade.gov/itac
Department of Commerce,Industry Trade Advisory Committee on Energy and Energy Services,http://www.trade.gov/itac
Department of Commerce,Industry Trade Advisory Committee on Distribution Services,http://www.trade.gov/itac
Department of Commerce,Industry Trade Advisory Committee on Intellectual Property Rights,http://www.trade.gov/itac
Department of Commerce,Federal Economic  Statistics Advisory Committee,http://www.census.gov/fesac
Department of Commerce,Industry Trade Advisory Committee on Consumer Goods,http://www.ita.doc.gov/itac
Department of Commerce,"Industry Trade Advisory Committee on Chemicals, Pharmaceuticals, Health Science Products and Services",http://www.trade.gov/itac
Department of Commerce,Industry Trade Advisory Committee on Aerospace Equipment,http://www.trade.gov/itac
Department of Commerce,Hydrographic Services Review Panel,https://www.nauticalcharts.noaa.gov/hsrp/hsrp.htm
Department of Commerce,"Industry Trade Advisory Committee on Building Materials, Construction, and Nonferrous Metals",http://www.trade.gov/itac
Department of Commerce,Industry Trade Advisory Committee on Automotive Equipment and Capital Goods,http://www.trade.gov/itac
Department of Commerce,Marine Fisheries Advisory Committee,https://www.fisheries.noaa.gov/topic/partners#marine-fisheries-advisory-committee
Department of Commerce,Emerging Technology Technical Advisory Committee,http://tac.bis.doc.gov/
Department of Commerce,Digital Economy Board of Advisors,https://www.ntia.doc.gov/category/digital-economy-board-advisors
Department of Commerce,Department of Commerce Trade Finance Advisory Council,http://trade.gov/tfac
Department of Commerce,Environmental Technologies Trade Advisory Committee,https://www.export.gov/ettac
Department of Commerce,Commerce Spectrum Management Advisory Committee,http://www.ntia.doc.gov/advisory/spectrum/
Department of Commerce,Civil Nuclear Trade Advisory Committee,http://trade.gov/mas/ian/nuclear/tg_ian_003233.asp
Department of Commerce,Bureau of the Census Scientific Advisory Committee,http://www.census.gov/about/cac/sac.html
Department of Commerce,Bureau of Economic Analysis Advisory Committee,http://www.bea.gov/about/advisory.htm
Department of Commerce,"Census Bureau National Advisory Committee on Racial, Ethnic, Other Populations",http://www.census.gov/about/cac/nac.html
Department of Commerce,Board of Overseers of the Malcolm Baldrige National Quality Award,https://www.nist.gov/baldrige/how-baldrige-works/baldrige-community/board-overseers
Department of Commerce,Advisory Committee on Supply Chain Competitiveness,https://www.trade.gov/td/services/oscpb/supplychain/acscc/
Department of Commerce,Advisory Committee on Commercial Remote Sensing,http://www.nesdis.noaa.gov/CRSRA/accresHome.html
Department of Commerce,Advisory Committee on Earthquake Hazards Reduction,http://nehrp.gov/committees/index.htm
